karozzi	karozza	50.000000
xmara	ilma	49.000000
filgħodu	sunrise	49.000000
xita	maltempata	49.000000
qattus	qtates	49.000000
żfin	żeffiena	49.000000
kamera	fotografija	49.000000
qattus	qtates	48.000000
xemxi	xemx	48.000000
tqala	tqila	48.000000
bajja	ramel	48.000000
forn	ħobż	48.000000
fjuri	ġnien	48.000000
ħaxix	lawn	48.000000
ram	metall	48.000000
ritratti	fotografija	47.000000
gravestone	ċimiterju	47.000000
iswed	dlam	47.000000
katidral	knisja	47.000000
iffriżat	silġ	47.000000
istazzjon	subway	47.000000
tfal	gidjien	46.000000
akkwarju	ħut	46.000000
fungi	faqqiegħ	46.000000
ġlata	borra	46.000000
burn	fjamma	46.000000
oċean	baħar	46.000000
kandju	ċikkulata	46.000000
karozza	vettura	46.000000
kunċert	mużika	46.000000
ritratti	stampa	46.000000
għeneb	inbid	46.000000
blanzuni	fjuri	46.000000
qattus	kitty	46.000000
oċean	ilma	46.000000
ajruplani	ajruplan	46.000000
farfett	caterpillars	46.000000
xagħar	wig	46.000000
fjur	blanzuni	46.000000
awtostrada	triq	46.000000
ħobż	sandwich	46.000000
ċpar	misty	46.000000
fjuri	petali	46.000000
ajruplan	titjira	46.000000
ħut	sajd	46.000000
silġ	borra	46.000000
jgħajjat	xemx	45.000000
dell	siġra	45.000000
roti	bike	45.000000
trakk	vettura	45.000000
xatt	ilma	45.000000
dgħajsa	sajd	45.000000
kelb	ġeru	45.000000
bride	tieġ	45.000000
għasafar	hummingbird	45.000000
baħar	ilma	45.000000
baqra	ħalib	45.000000
għasafar	rix	45.000000
rebekkin	skating	45.000000
kappella	knisja	45.000000
fergħa	friegħi	45.000000
kunċert	mużiċisti	45.000000
ħwejjeġ	libsa	45.000000
karozzi	vettura	45.000000
tixrid	għawm	45.000000
sodda	għamara	45.000000
ajruplani	titjira	45.000000
rettili	serp	45.000000
mutur	scooter	45.000000
kafè	te	45.000000
rix	wiżża	45.000000
pool	għawm	45.000000
għajnejn	wiċċ	45.000000
ħmieġ	maħmuġ	45.000000
frott	frawli	45.000000
titjira	pjan	45.000000
duħħan	tipjip	45.000000
ivy	pjanta	45.000000
xmara	nixxiegħa	45.000000
lag	ilma	45.000000
qtates	kitty	45.000000
borra	snowman	45.000000
kelb	terrier	45.000000
daffodils	fjuri	45.000000
għadira	ilma	45.000000
juru	televiżjoni	44.000000
kalligrafija	miktub	44.000000
għargħar	ilma	44.000000
jazz	mużiċisti	44.000000
ajkla	rix	44.000000
għeneb	dwieli	44.000000
għasafar	hawk	44.000000
ħwejjeġ	ilbies	44.000000
wirja	mużew	44.000000
idejn	palm	44.000000
qabar	ċimiterju	44.000000
berry	frawli	44.000000
foresti	ballut	44.000000
ganċ	knitting	44.000000
għasafar	ajkla	44.000000
klieb	ġeru	44.000000
bar	cocktail	44.000000
bar	pub	44.000000
tuffieħ	frott	44.000000
xemx	sunrise	44.000000
ġinnastika	isports	44.000000
tbaħħir	vapur	44.000000
bajja	baħar	44.000000
logħba	hockey	44.000000
sodda	investi	44.000000
daffodils	tulipani	44.000000
fjuri	pjanta	44.000000
nar	duħħan	44.000000
klieb	kelb	44.000000
bracelet	dehbijiet	44.000000
qtates	kitty	44.000000
arkitettura	bini	44.000000
ħanut	xiri	44.000000
awtostrada	traffiku	44.000000
gremxula	rettili	44.000000
mużika	piano	44.000000
frawli	ħelu	44.000000
borra	xitwa	44.000000
ħarifa	rebbiegħa	44.000000
bejken	laħam	44.000000
lampun	frawli	44.000000
chipmunk	iskojjattlu	44.000000
kosta	port	44.000000
libsa	dublett	44.000000
xemx	xemxi	44.000000
lily	tulipani	44.000000
qabar	gravestone	44.000000
jgħajjat	xemxi	44.000000
ċikwejra	pjanta	44.000000
għoljiet	muntanji	43.000000
burger	ikel	43.000000
baħar	xatt	43.000000
rix	pagun	43.000000
tfal	omm	43.000000
oranġjo	qoxra	43.000000
subway	ferrovija	43.000000
kamera	lenti	43.000000
daisy	petali	43.000000
ajruplani	ġwienaħ	43.000000
bloom	fjuri	43.000000
ħwejjeġ	ġakketta	43.000000
pranzu	ristorant	43.000000
jgħum	għawm	43.000000
ċimiterju	gravestone	43.000000
sigaretti	duħħan	43.000000
shirt	dublett	43.000000
tarbija	tqila	43.000000
ċirasa	frott	43.000000
ċanga	laħam	43.000000
fjur	daffodils	43.000000
bloom	fjur	43.000000
aġġru	ballut	43.000000
ġlata	xitwa	43.000000
kulur	roża	43.000000
kelb	poodle	43.000000
fanal	dawl	43.000000
kosta	baħar	43.000000
xagħar	haircut	43.000000
bikini	swimsuit	43.000000
